LocationID,Zone,LatLong
224,Stuy Town/Peter Cooper Village,"(40.7318381, -73.9778726)"
225,Stuyvesant Heights,"(40.6824166, -73.9319933)"
226,Sunnyside,"(40.7432759, -73.9196324)"
227,Sunset Park East,"(40.65272, -74.00933479999999)"
228,Sunset Park West,"(40.65272, -74.00933479999999)"
229,Sutton Place/Turtle Bay North,"(40.7576281, -73.961698)"
230,Times Sq/Theatre District,"(40.7592262, -73.9846269)"
231,TriBeCa/Civic Center,"(40.7140519, -74.00283639999999)"
232,Two Bridges/Seward Park,"(40.7107469, -73.99696)"
233,UN/Turtle Bay South,"(40.7493281, -73.96792409999999)"
234,Union Sq,"(40.7353678, -73.9899756)"
235,University Heights/Morris Heights,"(40.8505298, -73.91554289999999)"
236,Upper East Side North,"(40.7735649, -73.9565551)"
237,Upper East Side South,"(40.7735649, -73.9565551)"
238,Upper West Side North,"(40.7870106, -73.9753676)"
239,Upper West Side South,"(40.7870106, -73.9753676)"
240,Van Cortlandt Park,"(40.887462, -73.8942012)"
241,Van Cortlandt Village,"(40.8837203, -73.89313899999999)"
242,Van Nest/Morris Park,"(40.8464157, -73.8560648)"
243,Washington Heights North,"(40.852476, -73.9342996)"
244,Washington Heights South,"(40.8417082, -73.9393554)"
245,West Brighton,"(40.6270298, -74.10931409999999)"
246,West Chelsea/Hudson Yards,"(40.754247, -74.0022078)"
247,West Concourse,"(40.8316761, -73.9227554)"
248,West Farms/Bronx River,"(40.8430609, -73.8816001)"
249,West Village,"(40.73468, -74.0047554)"
250,Westchester Village/Unionport,"(40.8340173, -73.8534006)"
251,Westerleigh,"(40.616296, -74.1386767)"
252,Whitestone,"(40.7920449, -73.8095574)"
253,Willets Point,"(40.7606911, -73.840436)"
254,Williamsbridge/Olinville,"(40.8550982, -73.8551072)"
255,Williamsburg (North Side),"(40.7162503, -73.9585348)"
256,Williamsburg (South Side),"(40.70824229999999, -73.9571487)"
257,Windsor Terrace,"(40.6539346, -73.9756567)"
258,Woodhaven,"(40.6901366, -73.8566087)"
259,Woodlawn/Wakefield,"(40.8955885, -73.8627133)"
260,Woodside,"(40.7532952, -73.9068973)"
261,World Trade Center,"(40.7127431, -74.0133795)"
262,Yorkville East,"(40.7762231, -73.94920789999999)"
263,Yorkville West,"(40.7762231, -73.94920789999999)"
